sentence,kata,tag
Kalimat 1,forza,B-Game
Kalimat 1,horizon,E-Game
Kalimat 1,om,O
Kalimat 1,sekali,O
Kalimat 1,install,B-Request
Kalimat 2,gan,O
Kalimat 2,pc,B-Device
Kalimat 2,only,O
Kalimat 2,sama,O
Kalimat 2,dalem,O
Kalimat 3,gan,O
Kalimat 3,maenin,O
Kalimat 3,game,B-Game
Kalimat 3,iya,O
Kalimat 3,fc,B-Game
Kalimat 3,call,B-Game
Kalimat 3,of,I-Game
Kalimat 3,duty,E-Game
Kalimat 3,modern,B-GameEpisode
Kalimat 3,warfare,E-GameEpisode
Kalimat 4,gan,O
Kalimat 4,kalau,O
Kalimat 4,buat,O
Kalimat 4,pb,B-Game
Kalimat 4,gta,B-Game
Kalimat 5,install,B-Request
Kalimat 5,ets,B-Game
Kalimat 5,gta,B-Game
Kalimat 5,roleplay,E-Game
Kalimat 5,sisa,B-Ketersediaan
Kalimat 5,kosong,B-Ketersediaan
Kalimat 6,bang,O
Kalimat 6,kalau,O
Kalimat 6,beli,B-Bayar
Kalimat 6,gamenya,B-Game
Kalimat 6,ilangin,B-Request
Kalimat 6,mau,O
Kalimat 6,ajar,O
Kalimat 6,download,B-Request
Kalimat 6,sendiri,O
Kalimat 6,bang,O
Kalimat 7,kalau,O
Kalimat 7,misal,O
Kalimat 7,tambah,B-Request
Kalimat 7,hdd,B-Spek
Kalimat 7,tera,B-SatuanMemory
Kalimat 8,gan,O
Kalimat 8,semua,O
Kalimat 8,komponen,B-Spek
Kalimat 8,pc,B-Device
Kalimat 8,orisinal,B-Original
Kalimat 8,apa,O
Kalimat 9,gan,O
Kalimat 9,windows,B-OS
Kalimat 9,pro,O
Kalimat 9,original,B-Original
Kalimat 9,apa,O
Kalimat 10,monitor,B-Device
Kalimat 10,nya,O
Kalimat 10,req,B-Request
Kalimat 10,hp,B-Merek
Kalimat 10,sih,O
Kalimat 10,gan,O
Kalimat 11,buat,O
Kalimat 11,gta,B-Game
Kalimat 11,roplay,E-Game
Kalimat 11,kuat,B-Performance
Kalimat 11,gan,O
Kalimat 12,req,B-Request
Kalimat 12,game,B-Game
Kalimat 13,gan,O
Kalimat 13,toko,B-Toko
Kalimat 13,asli,B-Original
Kalimat 13,mana,O
Kalimat 14,assalamualaikum,O
Kalimat 14,kak,O
Kalimat 14,maaf,O
Kalimat 14,mau,O
